S.No.,Chapter / Section / Heading,Description of Service,CGST Rate (%),SGST/UTGST Rate (%),IGST Rate (%),Condition
10,Heading 9966 (Rental services of transport vehicles with operators),"(iii) Rental services of transport vehicles with operators, other than (i), (ia) and (ii) above.",9,9,18,-
11,Heading 9967 (Supporting services in transport),"Supporting services in transport. This entry does not include goods transport service involving Goods Transport Agency (GTA) service, which falls under Heading 9965.",9,9,18,-
12,Heading 9968,Postal and courier services.,9,9,18,-
13,Heading 9969,"Electricity, gas, water and other distribution services.",9,9,18,-
14,Section 7,Financial and related services; real estate services; and rental and leasing services.,,,,
15,Heading 9971 (Financial and related services),"(ii) Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.",Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,-
15,Heading 9971 (Financial and related services),(iii) Any transfer of right in goods or of undivided share in goods without the transfer of title thereof.,Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,-
15,Heading 9971 (Financial and related services),"(v) Leasing of motor vehicles purchased and leased prior to 1st July 2017. Note: Nothing contained in this entry shall apply on or after 1st July, 2020.",65% of the rate of central tax as applicable on supply of like goods involving transfer of title,65% of the rate of state/UT tax as applicable on supply of like goods involving transfer of title,65% of the rate of integrated tax as applicable on supply of like goods involving transfer of title,-
15,Heading 9971 (Financial and related services),(vi) Service of third party insurance of goods carriage.,6,6,12,-
15,Heading 9971 (Financial and related services),"(vii) Financial and related services other than (ii), (iii), (v), and (vi) above.",9,9,18,-
16,Heading 9972,"(i) Services by the Central Government, State Government, Union territory or local authority to governmental authority or government entity, by way of lease of land.",Nil,Nil,Nil,-
16,Heading 9972,"(ii) Supply of land or undivided share of land by way of lease or sub lease where such supply is a part of composite supply of construction of flats etc. specified in entry against serial number 3, at item (i), (ia), (ib), (ic), (id), (ie) and (if). The exemption shall not apply to amount charged for such lease and sub-lease in excess of one third of the total amount charged for the composite supply.",Nil,Nil,Nil,-
16,Heading 9972,(iii) Real estate services other than (i) and (ii) above.,9,9,18,-
17,Heading 9973 (Leasing or rental services without operator),(ii) Temporary or permanent transfer or permitting the use or enjoyment of Intellectual Property (IP) right.,9,9,18,-
17,Heading 9973 (Leasing or rental services without operator),"(iii) Transfer of the right to use any goods for any purpose (whether or not for a specified period) for cash, deferred payment or other valuable consideration.",Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,-
17,Heading 9973 (Leasing or rental services without operator),(iv) Any transfer of right in goods or of undivided share in goods without the transfer of title thereof.,Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,-
17,Heading 9973 (Leasing or rental services without operator),"(vi) Leasing of motor vehicles purchased and leased prior to 1st July 2017. Note: Nothing contained in this entry shall apply on or after 1st July, 2020.",65% of the rate of central tax as applicable on supply of like goods involving transfer of title,65% of the rate of state/UT tax as applicable on supply of like goods involving transfer of title,65% of the rate of integrated tax as applicable on supply of like goods involving transfer of title,-
17,Heading 9973 (Leasing or rental services without operator),(viia) Leasing or renting of goods.,Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,Same rate as on supply of like goods involving transfer of title,
17,Heading 9973 (Leasing or rental services without operator),"(viii) Leasing or rental services, without operator, other than (i), (ii), (iii), (iv), (vi), and (viia) above.",9,9,18,-
18,Section 8,Business and Production Services,,,,
19,Heading 9981,Research and development services.,9,9,18,-
20,Heading 9982,Legal and accounting services.,8,9,18,-
21,"Heading 9983 (Other professional, technical and business services)",(i) Selling of space for advertisement in print media.,2.5,2.5,5,-
21,"Heading 9983 (Other professional, technical and business services)","(ia) Other professional, technical and business services relating to exploration, mining or drilling of petroleum crude or natural gas or both.",6,6,12,-
21,"Heading 9983 (Other professional, technical and business services)","(ii) Other professional, technical and business services other than (i) and (ia) above and serial number 38 below.",9,9,18,-
22,"Heading 9984 (Telecommunications, broadcasting and information supply services)","(i) Supply consisting only of e-book (electronic version of a printed book falling under tariff item 4901 in the First Schedule to the Customs Tariff Act, 1975) supplied online.",2.5,2.5,5,-
22,"Heading 9984 (Telecommunications, broadcasting and information supply services)","(ii) Telecommunications, broadcasting and information supply services other than (i) above.",9,9,18,-
23,Heading 9985 (Support services),"(i) Supply of tour operators services. Tour operator means any person engaged in the business of planning, scheduling, organizing, arranging tours (which may include arrangements for accommodation, sightseeing or other similar services) by any mode of transport.",2.5,2.5,5,1. Credit of input tax charged on goods and services used in supplying the service other than input tax credit of input service in the same line of business (i.e. tour operator service procured from another tour operator) has not been taken. 2. The bill issued for supply of this service indicates that it is inclusive of charges of accommodation and transportation required for such a tour.
23,Heading 9985 (Support services),"(ii) Services by way of house-keeping, such as plumbing, carpentering, etc. where the person supplying such service through electronic commerce operator is not liable for registration under sub-section (1) of section 22 of the CGST Act, 2017.",2.5,2.5,5,Credit of input tax charged on goods and services has not been taken [Please refer to Explanation no. (iv)]
23,Heading 9985 (Support services),(iii) Support services other than (i) and (ii) above.,9,9,18,-
24,"Heading 9986 (Support services to agriculture, hunting, forestry, fishing, mining and utilities)","(i) Support services to agriculture, forestry, fishing, animal husbandry including agricultural operations, supply of farm labour, processes carried out at an agricultural farm, renting or leasing of agro machinery, loading/unloading/packing/storage/warehousing of agricultural produce, agricultural extension services, services by Agricultural Produce Marketing Committee or Board, services provided by a commission agent for sale or purchase of agricultural produce, pre-conditioning/pre-cooling/ripening/waxing/retail packing/labelling of fruits and vegetables, carrying out intermediate production process as job work in relation to cultivation of plants and rearing of all life forms of animals.",Nil,Nil,Nil,-
24,"Heading 9986 (Support services to agriculture, hunting, forestry, fishing, mining and utilities)","(ii) Support services to exploration, mining or drilling of petroleum crude or natural gas or both.",6,6,12,-
24,"Heading 9986 (Support services to agriculture, hunting, forestry, fishing, mining and utilities)","(iii) Support services to mining, electricity, gas and water distribution other than (ii) above.",9,9,18,-
25,Heading 9987,"(i) Services by way of house-keeping, such as plumbing, carpentering, etc. where the person supplying such service through electronic commerce operator is not liable for registration under sub-section (1) of section 22 of the CGST Act, 2017.",2.5,2.5,5,Credit of input tax charged on goods and services has not been taken [Please refer to Explanation no. (iv)]
25,Heading 9987,"(ia) Maintenance, repair or overhaul services in respect of aircrafts, aircraft engines and other aircraft components or parts.",2.5,2.5,5,-
25,Heading 9987,"(ib) Maintenance, repair or overhaul services in respect of ships and other vessels, their engines and other components or parts.",2.5,2.5,5,-
25,Heading 9987,"(ii) Maintenance, repair and installation (except construction) services, other than (i), (ia) and (ib) above and serial number 38 below.",9,9,18,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),"(i) Services by way of job work in relation to (a) Printing of newspapers; (b) Textiles and textile products falling under Chapter 50 to 63; (c) all products other than diamonds falling under Chapter 71; (d) Printing of books (including Braille books), journals and periodicals; (da) printing of all goods falling under Chapter 48 or 49 which attract IGST @ 5% or Nil; (g) all products falling under Chapter 23 except dog and cat food put up for retail sale; (i) manufacture of handicraft goods.",2.5,2.5,5,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),(ia) Services by way of job work in relation to (a) manufacture of umbrella; (b) printing of all goods falling under Chapter 48 or 49 which attract IGST @ 12 per cent.,6,6,12,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),"(ib) Services by way of job work in relation to diamonds falling under chapter 71 in the First Schedule to the Customs Tariff Act, 1975.",0.75,0.75,1.5,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),"(ic) Services by way of job work in relation to bus body building. For the purposes of this entry, the term bus body building shall include building of body on chassis of any vehicle falling under chapter 87 in the First Schedule to the Customs Tariff Act, 1975.",9,9,18,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),(ica) Services by way of job work in relation to manufacture of alcoholic liquor for human consumption.,9,9,18,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),"(id) Services by way of job work other than (i), (ia), (ib), (ic) and (ica) above.",6,6,12,
26,Heading 9988 (Manufacturing services on physical inputs owned by others),"(ii) Services by way of any treatment or process on goods belonging to another person, in relation to (a) printing of newspapers; (b) printing of books (including Braille books), journals and periodicals; (c) printing of all goods falling under Chapter 48 or 49 which attract IGST @ 5% or Nil.",2.5,2.5,5,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),"(iia) Services by way of any treatment or process on goods belonging to another person, in relation to printing of all goods falling under Chapter 48 or 49 which attract IGST @ 12 per cent.",6,6,12,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),(iii) Tailoring services.,2.5,2.5,5,-
26,Heading 9988 (Manufacturing services on physical inputs owned by others),"(iv) Manufacturing services on physical inputs (goods) owned by others, other than (i), (ia), (ib), (ic), (ica), (id), (ii), (iia) and (iii) above.",9,9,18,-
27,Heading 9989,"Other manufacturing services; publishing, printing and reproduction services; material recovery services.",9,9,18,-
28,Section 9,"Community, Social and Personal Services and other miscellaneous services.",,,,
29,Heading 9991,Public administration and other services provided to the community as a whole; compulsory social security services.,9,9,18,-
30,Heading 9992,Education services.,9,9,18,-
31,Heading 9993,Human health and social care services.,9,9,18,-
31A,Heading 9993,Services provided by a clinical establishment by way of providing room [other than ICU/CCU/ICCU/NICU] having room charges exceeding Rs. 5000 per day to a person receiving health care services.,2.5,2.5,5,The credit of input tax charged on goods and services used in supplying the service has not been taken [Please refer to Explanation no. (iv)]
32,Heading 9994,(i) Services by way of treatment of effluents by a Common Effluent Treatment Plant.,6,6,12,-
32,Heading 9994,(ia) Services by way of treatment or disposal of biomedical waste or the processes incidental thereto by a common bio-medical waste treatment facility to a clinical establishment.,6,6,12,-
32,Heading 9994,"(ii) Sewage and waste collection, treatment and disposal and other environmental protection services other than (i) and (ia) above.",9,9,18,-
33,Heading 9995,Services of membership organisations.,9,9,18,-
34,"Heading 9996 (Recreational, cultural and sporting services)","(i) Services by way of admission or access to circus, Indian classical dance including folk dance, theatrical performance, drama or planetarium.",9,9,18,-
34,"Heading 9996 (Recreational, cultural and sporting services)",(ii) Services by way of admission to exhibition of cinematograph films where price of admission ticket is one hundred rupees or less.,6,6,12,-
34,"Heading 9996 (Recreational, cultural and sporting services)",(iia) Services by way of admission to exhibition of cinematograph films where price of admission ticket is above one hundred rupees.,9,9,18,-
34,"Heading 9996 (Recreational, cultural and sporting services)","(iii) Services by way of admission to (a) theme parks, water parks and any other place having joy rides, merry-go rounds, go carting, or (b) ballet - other than any place covered by (iiia) below.",9,9,18,-
34,"Heading 9996 (Recreational, cultural and sporting services)",(iiia) Services by way of admission to (a) casinos or race clubs or any place having casinos or race clubs or (b) sporting events like Indian Premier League.,14,14,28,
34,"Heading 9996 (Recreational, cultural and sporting services)",(iv) Services provided by a race club by way of totalisator or a license to bookmaker in such club.,14,14,28,-
34,"Heading 9996 (Recreational, cultural and sporting services)",(v) Gambling.,14,14,28,-
